hazard,iso3,country,year,month,plot_date,policy_year,hazard_index,monthly_total_mm_pop,has_payout,payout_amount_usd
rain,TTO,Trinidad and Tobago,2017,7,2017-07-01,2017/18,164.44408280660048,164.44408280660048,0,0.0
rain,TTO,Trinidad and Tobago,2017,8,2017-08-01,2017/18,322.82478441243546,322.82478441243546,0,0.0
rain,TTO,Trinidad and Tobago,2017,9,2017-09-01,2017/18,205.0723357477169,205.0723357477169,0,0.0
rain,TTO,Trinidad and Tobago,2017,10,2017-10-01,2017/18,233.52582562314765,233.52582562314765,1,9542436.0
rain,TTO,Trinidad and Tobago,2017,11,2017-11-01,2017/18,145.6374251995072,145.6374251995072,0,0.0
rain,TTO,Trinidad and Tobago,2017,12,2017-12-01,2017/18,176.5533062596556,176.5533062596556,0,0.0
rain,TTO,Trinidad and Tobago,2018,1,2018-01-01,2017/18,112.56261956149582,112.56261956149582,0,0.0
rain,TTO,Trinidad and Tobago,2018,2,2018-02-01,2017/18,46.00804273613492,46.00804273613492,0,0.0
rain,TTO,Trinidad and Tobago,2018,3,2018-03-01,2017/18,97.5754627026403,97.5754627026403,0,0.0
rain,TTO,Trinidad and Tobago,2018,4,2018-04-01,2017/18,28.393252890261017,28.393252890261017,0,0.0
rain,TTO,Trinidad and Tobago,2018,5,2018-05-01,2017/18,36.56134506255252,36.56134506255252,0,0.0
rain,TTO,Trinidad and Tobago,2018,6,2018-06-01,2018/19,136.70544483149527,136.70544483149527,0,0.0
rain,TTO,Trinidad and Tobago,2018,7,2018-07-01,2018/19,194.865650962889,194.865650962889,0,0.0
rain,TTO,Trinidad and Tobago,2018,8,2018-08-01,2018/19,293.5243046269989,293.5243046269989,0,0.0
rain,TTO,Trinidad and Tobago,2018,9,2018-09-01,2018/19,194.481669444132,194.481669444132,0,0.0
rain,TTO,Trinidad and Tobago,2018,10,2018-10-01,2018/19,260.9057384617549,260.9057384617549,0,0.0
rain,TTO,Trinidad and Tobago,2018,11,2018-11-01,2018/19,163.17517559022735,163.17517559022735,0,0.0
rain,TTO,Trinidad and Tobago,2018,12,2018-12-01,2018/19,53.85243353205078,53.85243353205078,0,0.0
rain,TTO,Trinidad and Tobago,2019,1,2019-01-01,2018/19,27.832851097181813,27.832851097181813,0,0.0
rain,TTO,Trinidad and Tobago,2019,2,2019-02-01,2018/19,48.78342740169777,48.78342740169777,0,0.0
rain,TTO,Trinidad and Tobago,2019,3,2019-03-01,2018/19,42.80725918365498,42.80725918365498,0,0.0
rain,TTO,Trinidad and Tobago,2019,4,2019-04-01,2018/19,40.08202351274294,40.08202351274294,0,0.0
rain,TTO,Trinidad and Tobago,2019,5,2019-05-01,2018/19,24.62877196328894,24.62877196328894,0,0.0
rain,TTO,Trinidad and Tobago,2019,6,2019-06-01,2019/20,172.23200421846727,172.23200421846727,0,0.0
rain,TTO,Trinidad and Tobago,2019,7,2019-07-01,2019/20,182.20169226539213,182.20169226539213,0,0.0
rain,TTO,Trinidad and Tobago,2019,8,2019-08-01,2019/20,166.988548686125,166.988548686125,0,0.0
rain,TTO,Trinidad and Tobago,2019,9,2019-09-01,2019/20,184.34601437251283,184.34601437251283,0,0.0
rain,TTO,Trinidad and Tobago,2019,10,2019-10-01,2019/20,162.80512446059464,162.80512446059464,1,362982.0
rain,TTO,Trinidad and Tobago,2019,11,2019-11-01,2019/20,229.37081024887289,229.37081024887289,0,0.0
rain,TTO,Trinidad and Tobago,2019,12,2019-12-01,2019/20,122.90350857273442,122.90350857273442,0,0.0
rain,TTO,Trinidad and Tobago,2020,1,2020-01-01,2019/20,64.9783265720888,64.9783265720888,0,0.0
rain,TTO,Trinidad and Tobago,2020,2,2020-02-01,2019/20,44.85179757641943,44.85179757641943,0,0.0
rain,TTO,Trinidad and Tobago,2020,3,2020-03-01,2019/20,27.928930103787216,27.928930103787216,0,0.0
rain,TTO,Trinidad and Tobago,2020,4,2020-04-01,2019/20,29.652148040309427,29.652148040309427,0,0.0
rain,TTO,Trinidad and Tobago,2020,5,2020-05-01,2019/20,32.903872482839176,32.903872482839176,0,0.0
rain,TTO,Trinidad and Tobago,2020,6,2020-06-01,2020/21,185.4452171116007,185.4452171116007,0,0.0
rain,TTO,Trinidad and Tobago,2020,7,2020-07-01,2020/21,154.14772034687638,154.14772034687638,0,0.0
rain,TTO,Trinidad and Tobago,2020,8,2020-08-01,2020/21,462.795024888398,462.795024888398,0,0.0
rain,TTO,Trinidad and Tobago,2020,9,2020-09-01,2020/21,200.29513708239395,200.29513708239395,1,176146.0
rain,TTO,Trinidad and Tobago,2020,10,2020-10-01,2020/21,191.35097116963,191.35097116963,0,0.0
rain,TTO,Trinidad and Tobago,2020,11,2020-11-01,2020/21,168.96503688248035,168.96503688248035,0,0.0
rain,TTO,Trinidad and Tobago,2020,12,2020-12-01,2020/21,60.09398519919898,60.09398519919898,0,0.0
rain,TTO,Trinidad and Tobago,2021,1,2021-01-01,2020/21,58.777880353816784,58.777880353816784,0,0.0
rain,TTO,Trinidad and Tobago,2021,2,2021-02-01,2020/21,40.37277502647605,40.37277502647605,0,0.0
rain,TTO,Trinidad and Tobago,2021,3,2021-03-01,2020/21,102.0462147952859,102.0462147952859,0,0.0
