hazard,iso3,country,year,month,plot_date,policy_year,hazard_index,monthly_max_wind_kt,monthly_max_wind_mps,n_storms,storm_names,storm_ids,has_payout,payout_amount_usd
tc,BLZ,Belize,2020,3,2020-03-01,2019/20,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2020,4,2020-04-01,2019/20,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2020,5,2020-05-01,2019/20,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2020,6,2020-06-01,2020/21,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2020,7,2020-07-01,2020/21,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2020,8,2020-08-01,2020/21,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2020,9,2020-09-01,2020/21,65.0,65.0,33.43886,1,NANA,2020245N16285,0,0.0
tc,BLZ,Belize,2020,10,2020-10-01,2020/21,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2020,11,2020-11-01,2020/21,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2020,12,2020-12-01,2020/21,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2021,1,2021-01-01,2020/21,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2021,2,2021-02-01,2020/21,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2021,3,2021-03-01,2020/21,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2021,4,2021-04-01,2020/21,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2021,5,2021-05-01,2020/21,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2021,6,2021-06-01,2021/22,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2021,7,2021-07-01,2021/22,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2021,8,2021-08-01,2021/22,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2021,9,2021-09-01,2021/22,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2021,10,2021-10-01,2021/22,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2021,11,2021-11-01,2021/22,0.0,0.0,0.0,0,,,0,0.0
